Feature,Importance
Revenue,0.9490632245002921
7_day_rolling_average_of_revenue,0.01229635232936156
Revenue_growth,0.011558165318442788
cumulative_Revenue,0.005685188991902576
Profile,0.005454828034476357
Size,0.004433312642417432
Revenue_from_7_days_ago,0.0029097779281333476
day_of_month,0.002879782506216724
Previous_day_revenue,0.002341152878314288
Revenue_per_day_of_week,0.0010500357830799886
is_month_end,0.0010405562063771107
day_of_week,0.0007940275095404955
is_holiday,0.0003020961508706103
is_weekend,0.00014527059777470517
is_month_start,4.6228622799856966e-05
